mach,cd_power off
0.01,0.356915766
0.02,0.390289895
0.03,0.407196626
0.04,0.413060817
0.05,0.41504965
0.06,0.415396935
0.07,0.414973958
0.08,0.414171798
0.09,0.413183108
0.1,0.412108964
0.11,0.411004651
0.12,0.409901105
0.13,0.40881576
0.14,0.407758248
0.15,0.406733628
0.16,0.405744211
0.17,0.404790636
0.18,0.403872558
0.19,0.40298903
0.2,0.402138777
0.21,0.401320348
0.22,0.400532218
0.23,0.399772847
0.24,0.399040745
0.25,0.39833443
0.26,0.397903783
0.27,0.397496222
0.28,0.39711052
0.29,0.39674552
0.3,0.396400126
0.31,0.396073329
0.32,0.395764179
0.33,0.395471714
0.34,0.395195166
0.35,0.394933746
0.36,0.394686712
0.37,0.39445335
0.38,0.394233077
0.39,0.394025271
0.4,0.393829343
0.41,0.393644774
0.42,0.393471084
0.43,0.393307805
0.44,0.39315448
0.45,0.393010713
0.46,0.392876096
0.47,0.392750277
0.48,0.392632872
0.49,0.392523608
0.5,0.392422137
0.51,0.392328182
0.52,0.392241449
0.53,0.39219825
0.54,0.39241714
0.55,0.392636077
0.56,0.392855116
0.57,0.393074183
0.58,0.393293332
0.59,0.393512547
0.6,0.393731843
0.61,0.394405778
0.62,0.395063492
0.63,0.39572125
0.64,0.39637909
0.65,0.397036974
0.66,0.397694958
0.67,0.398352968
0.68,0.399011059
0.69,0.399669193
0.7,0.400327408
0.71,0.400985666
0.72,0.401644004
0.73,0.402302385
0.74,0.402960845
0.75,0.403619366
0.76,0.404277929
0.77,0.404936571
0.78,0.405595255
0.79,0.406254018
0.8,0.406912821
0.81,0.407571703
0.82,0.408230626
0.83,0.408889626
0.84,0.409548667
0.85,0.410207785
0.86,0.410866961
0.87,0.411526196
0.88,0.412185471
0.89,0.412844822
0.9,0.413504213
0.91,0.416316041
0.92,0.424751527
0.93,0.443723489
0.94,0.469014183
0.95,0.494304878
0.96,0.519595573
0.97,0.544886267
0.98,0.570176962
0.99,0.595467656
1,0.620758351
