mach,cd_power on
0.01,0.339669962
0.02,0.373044091
0.03,0.389950822
0.04,0.395815013
0.05,0.397803846
0.06,0.398151131
0.07,0.397728154
0.08,0.396925994
0.09,0.395937304
0.1,0.39486316
0.11,0.393758847
0.12,0.392655301
0.13,0.391569956
0.14,0.390512444
0.15,0.389487824
0.16,0.388498407
0.17,0.387544832
0.18,0.386626754
0.19,0.385743226
0.2,0.384892973
0.21,0.384074544
0.22,0.383286414
0.23,0.382527043
0.24,0.381794941
0.25,0.381088626
0.26,0.380657979
0.27,0.380250418
0.28,0.379864716
0.29,0.379499716
0.3,0.379154322
0.31,0.378827525
0.32,0.378518375
0.33,0.37822591
0.34,0.377949362
0.35,0.377687942
0.36,0.377440908
0.37,0.377207546
0.38,0.376987273
0.39,0.376779467
0.4,0.376583539
0.41,0.37639897
0.42,0.37622528
0.43,0.376062001
0.44,0.375908677
0.45,0.375764909
0.46,0.375630292
0.47,0.375504473
0.48,0.375387068
0.49,0.375277804
0.5,0.375176333
0.51,0.375082378
0.52,0.374995645
0.53,0.374952446
0.54,0.375171336
0.55,0.375390273
0.56,0.375609312
0.57,0.375828379
0.58,0.376047529
0.59,0.375915823
0.6,0.375784199
0.61,0.376107214
0.62,0.376414007
0.63,0.376720845
0.64,0.377027765
0.65,0.37733473
0.66,0.377641794
0.67,0.377948883
0.68,0.378256054
0.69,0.378563268
0.7,0.378870563
0.71,0.379177901
0.72,0.379485319
0.73,0.379792779
0.74,0.380100319
0.75,0.38040792
0.76,0.380715563
0.77,0.381023285
0.78,0.381331049
0.79,0.381638891
0.8,0.381946775
0.81,0.382254737
0.82,0.382562739
0.83,0.382870819
0.84,0.38317894
0.85,0.383487138
0.86,0.383795394
0.87,0.384103709
0.88,0.384412064
0.89,0.384720495
0.9,0.385028965
0.91,0.387647162
0.92,0.395501753
0.93,0.41324088
0.94,0.436937248
0.95,0.460633616
0.96,0.484329984
0.97,0.508026352
0.98,0.53172272
0.99,0.555419088
1,0.579115456
