mach,CD Power-On
0.01,0.189116957
0.02,0.179072464
0.03,0.178671419
0.04,0.180549821
0.05,0.17976518
0.06,0.1784407
0.07,0.178504334
0.08,0.178897441
0.09,0.179331348
0.1,0.179723227
0.11,0.180053666
0.12,0.18032371
0.13,0.180540502
0.14,0.180712288
0.15,0.18084673
0.16,0.180950422
0.17,0.181028863
0.18,0.181086572
0.19,0.181127241
0.2,0.181153885
0.21,0.181168966
0.22,0.181174503
0.23,0.181172152
0.24,0.181163281
0.25,0.181149022
0.26,0.181130314
0.27,0.181107939
0.28,0.181082552
0.29,0.181054701
0.3,0.181024847
0.31,0.180993378
0.32,0.180960622
0.33,0.180926856
0.34,0.180892315
0.35,0.180857198
0.36,0.180821675
0.37,0.180785889
0.38,0.180749962
0.39,0.180713998
0.4,0.180678086
0.41,0.180642299
0.42,0.180606701
0.43,0.180571345
0.44,0.180536276
0.45,0.180501532
0.46,0.180467145
0.47,0.18043314
0.48,0.180399538
0.49,0.180366358
0.5,0.180333613
0.51,0.180301313
0.52,0.180269468
0.53,0.180238083
0.54,0.180207162
0.55,0.180176707
0.56,0.180146721
0.57,0.180117202
0.58,0.18008815
0.59,0.180059561
0.6,0.180031433
0.61,0.180003763
0.62,0.179976546
0.63,0.179949777
0.64,0.179923452
0.65,0.179897564
0.66,0.179872108
0.67,0.179847079
0.68,0.179822469
0.69,0.179798273
0.7,0.179774485
0.71,0.179751098
0.72,0.179728105
0.73,0.1797055
0.74,0.179683276
0.75,0.179661428
0.76,0.179639947
0.77,0.179618829
0.78,0.179598066
0.79,0.179577653
0.8,0.179557583
0.81,0.179537849
0.82,0.179518446
0.83,0.179499368
0.84,0.179480608
0.85,0.179462161
0.86,0.179444021
0.87,0.179426183
0.88,0.17940864
0.89,0.179391389
0.9,0.179374422
0.91,0.180594168
0.92,0.184253406
0.93,0.194213298
0.94,0.208644224
0.95,0.22307515
0.96,0.237506077
0.97,0.251937003
0.98,0.266367929
0.99,0.280798855
1,0.295229782
