mach,cd
0.01,0.355572
0.02,0.367334
0.03,0.386623
0.04,0.394168
0.05,0.397343
0.06,0.398577
0.07,0.398848
0.08,0.398608
0.09,0.398088
0.1,0.397413
0.11,0.396654
0.12,0.395854
0.13,0.395038
0.14,0.394222
0.15,0.393416
0.16,0.392627
0.17,0.391856
0.18,0.391107
0.19,0.39038
0.2,0.389675
0.21,0.388993
0.22,0.388333
0.23,0.387693
0.24,0.387075
0.25,0.386476
0.26,0.386147
0.27,0.385836
0.28,0.385542
0.29,0.385265
0.3,0.385004
0.31,0.384758
0.32,0.384526
0.33,0.384307
0.34,0.384102
0.35,0.383909
0.36,0.383728
0.37,0.383559
0.38,0.3834
0.39,0.383252
0.4,0.383113
0.41,0.382985
0.42,0.382865
0.43,0.382754
0.44,0.382652
0.45,0.382558
0.46,0.382472
0.47,0.382393
0.48,0.382321
0.49,0.382256
0.5,0.382198
0.51,0.382146
0.52,0.382101
0.53,0.38224
0.54,0.382463
0.55,0.382686
0.56,0.382909
0.57,0.383132
0.58,0.383355
0.59,0.383578
0.6,0.383801
0.61,0.384479
0.62,0.385141
0.63,0.385802
0.64,0.386464
0.65,0.387126
0.66,0.387787
0.67,0.388449
0.68,0.389111
0.69,0.389773
0.7,0.390435
0.71,0.391097
0.72,0.391759
0.73,0.392421
0.74,0.393083
0.75,0.393746
0.76,0.394408
0.77,0.39507
0.78,0.395733
0.79,0.396395
0.8,0.397058
0.81,0.39772
0.82,0.398383
0.83,0.399045
0.84,0.399708
0.85,0.400371
0.86,0.401034
0.87,0.401697
0.88,0.402359
0.89,0.403022
0.9,0.403685
0.91,0.483107
0.92,0.562529
0.93,0.641951
0.94,0.721373
0.95,0.800795
0.96,0.880216
0.97,0.959638
0.98,1.03906
0.99,1.118482
1,1.197904
1.01,1.277326
1.02,1.356748
1.03,1.436169
1.04,1.515591
1.05,1.595013
1.06,1.600236
1.07,1.605554
1.08,1.610957
1.09,1.616434
1.1,1.621978
1.11,1.628111
1.12,1.635863
1.13,1.643649
1.14,1.651467
1.15,1.659311
1.16,1.666287
1.17,1.673253
1.18,1.677684
1.19,1.681391
1.2,1.68478
1.21,1.688157
1.22,1.691514
1.23,1.694845
1.24,1.698148
1.25,1.701416
1.26,1.704647
1.27,1.707836
1.28,1.710981
1.29,1.714082
1.3,1.717135
1.31,1.72014
1.32,1.723095
1.33,1.725998
1.34,1.72885
1.35,1.73165
1.36,1.734398
1.37,1.737093
1.38,1.739735
1.39,1.742323
1.4,1.74486
1.41,1.747343
1.42,1.749773
1.43,1.752151
1.44,1.754477
1.45,1.756751
1.46,1.758975
1.47,1.761148
1.48,1.763271
1.49,1.765344
1.5,1.767368
1.51,1.769343
1.52,1.771271
1.53,1.773152
1.54,1.774986
1.55,1.776774
1.56,1.778517
1.57,1.780215
1.58,1.781869
1.59,1.78348
1.6,1.785048
1.61,1.786574
1.62,1.78806
1.63,1.789505
1.64,1.790909
1.65,1.792275
1.66,1.793601
1.67,1.79489
1.68,1.796141
1.69,1.797356
1.7,1.798535
1.71,1.799678
1.72,1.800787
1.73,1.801862
1.74,1.802903
1.75,1.803912
1.76,1.804888
1.77,1.805832
1.78,1.806745
1.79,1.807628
1.8,1.80848
1.81,1.809304
1.82,1.810098
1.83,1.810865
1.84,1.811603
1.85,1.812314
1.86,1.812999
1.87,1.813657
1.88,1.81429
1.89,1.814897
1.9,1.81548
1.91,1.816038
1.92,1.816572
1.93,1.817084
1.94,1.817572
1.95,1.818038
1.96,1.818482
1.97,1.818904
1.98,1.819305
1.99,1.819685
2,1.820045
2.01,1.820528
2.02,1.820984
2.03,1.821424
2.04,1.821846
2.05,1.822252
2.06,1.82264
2.07,1.823013
2.08,1.82337
2.09,1.823712
2.1,1.824038
2.11,1.82435
2.12,1.824647
2.13,1.824931
2.14,1.8252
2.15,1.825454
2.16,1.825697
2.17,1.825925
2.18,1.826142
2.19,1.826345
2.2,1.826536
2.21,1.826716
2.22,1.826883
2.23,1.82704
2.24,1.827184
2.25,1.827318
2.26,1.827441
2.27,1.827554
2.28,1.827655
2.29,1.827747
