mach,cd
0.01,0.338326
0.02,0.350088
0.03,0.369377
0.04,0.376922
0.05,0.380098
0.06,0.381331
0.07,0.381602
0.08,0.381362
0.09,0.380842
0.1,0.380167
0.11,0.379408
0.12,0.378608
0.13,0.377792
0.14,0.376976
0.15,0.376171
0.16,0.375381
0.17,0.37461
0.18,0.373861
0.19,0.373134
0.2,0.37243
0.21,0.371747
0.22,0.371087
0.23,0.370448
0.24,0.369829
0.25,0.36923
0.26,0.368901
0.27,0.36859
0.28,0.368297
0.29,0.368019
0.3,0.367758
0.31,0.367512
0.32,0.36728
0.33,0.367061
0.34,0.366856
0.35,0.366663
0.36,0.366482
0.37,0.366313
0.38,0.366154
0.39,0.366006
0.4,0.365868
0.41,0.365739
0.42,0.365619
0.43,0.365509
0.44,0.365406
0.45,0.365312
0.46,0.365226
0.47,0.365147
0.48,0.365075
0.49,0.36501
0.5,0.364952
0.51,0.364901
0.52,0.364855
0.53,0.364995
0.54,0.365217
0.55,0.36544
0.56,0.365663
0.57,0.365886
0.58,0.366109
0.59,0.365981
0.6,0.365854
0.61,0.36618
0.62,0.366491
0.63,0.366802
0.64,0.367112
0.65,0.367423
0.66,0.367734
0.67,0.368045
0.68,0.368356
0.69,0.368667
0.7,0.368978
0.71,0.369289
0.72,0.3696
0.73,0.369912
0.74,0.370223
0.75,0.370534
0.76,0.370846
0.77,0.371157
0.78,0.371468
0.79,0.37178
0.8,0.372092
0.81,0.372403
0.82,0.372715
0.83,0.373027
0.84,0.373338
0.85,0.37365
0.86,0.373962
0.87,0.374274
0.88,0.374586
0.89,0.374898
0.9,0.37521
0.91,0.453223
0.92,0.531235
0.93,0.609248
0.94,0.68726
0.95,0.765273
0.96,0.843286
0.97,0.921298
0.98,0.999311
0.99,1.077323
1,1.155336
1.01,1.233348
1.02,1.311361
1.03,1.389373
1.04,1.467386
1.05,1.545399
1.06,1.550832
1.07,1.55636
1.08,1.561973
1.09,1.567661
1.1,1.573414
1.11,1.579758
1.12,1.58772
1.13,1.595716
1.14,1.603744
1.15,1.611799
1.16,1.618984
1.17,1.62616
1.18,1.630802
1.19,1.634719
1.2,1.638182
1.21,1.641558
1.22,1.644916
1.23,1.648247
1.24,1.65155
1.25,1.654818
1.26,1.658048
1.27,1.661238
1.28,1.664383
1.29,1.667484
1.3,1.670537
1.31,1.673541
1.32,1.676496
1.33,1.679399
1.34,1.682252
1.35,1.685052
1.36,1.6878
1.37,1.690495
1.38,1.693136
1.39,1.695725
1.4,1.698261
1.41,1.700744
1.42,1.703174
1.43,1.705553
1.44,1.707879
1.45,1.710153
1.46,1.712377
1.47,1.714549
1.48,1.716673
1.49,1.718746
1.5,1.72077
1.51,1.722745
1.52,1.724673
1.53,1.726553
1.54,1.728388
1.55,1.730176
1.56,1.731919
1.57,1.733616
1.58,1.735271
1.59,1.736882
1.6,1.73845
1.61,1.739976
1.62,1.741461
1.63,1.742906
1.64,1.744311
1.65,1.745676
1.66,1.747003
1.67,1.748291
1.68,1.749542
1.69,1.750757
1.7,1.751937
1.71,1.75308
1.72,1.754189
1.73,1.755264
1.74,1.756304
1.75,1.757313
1.76,1.758289
1.77,1.759233
1.78,1.760147
1.79,1.761029
1.8,1.761882
1.81,1.762705
1.82,1.7635
1.83,1.764266
1.84,1.765004
1.85,1.765716
1.86,1.766401
1.87,1.767059
1.88,1.767692
1.89,1.768299
1.9,1.768882
1.91,1.76944
1.92,1.769974
1.93,1.770485
1.94,1.770974
1.95,1.77144
1.96,1.771883
1.97,1.772306
1.98,1.772588
1.99,1.772848
2,1.773088
2.01,1.773451
2.02,1.773788
2.03,1.774108
2.04,1.774411
2.05,1.774697
2.06,1.774966
2.07,1.775219
2.08,1.775457
2.09,1.775679
2.1,1.775886
2.11,1.776078
2.12,1.776256
2.13,1.77642
2.14,1.776569
2.15,1.776704
2.16,1.776827
2.17,1.776936
2.18,1.777033
2.19,1.777117
2.2,1.777188
2.21,1.777249
2.22,1.777296
2.23,1.777334
2.24,1.777358
2.25,1.777372
2.26,1.777376
2.27,1.777369
2.28,1.777351
2.29,1.777323
2.3,1.777287
2.31,1.77724
2.32,1.777182
2.33,1.777117
2.34,1.777042
2.35,1.776957
2.36,1.776865
2.37,1.776764
2.38,1.776654
2.39,1.776537
2.4,1.776411
2.41,1.776277
2.42,1.776137
2.43,1.775988
2.44,1.775832
2.45,1.77567
2.46,1.775862
2.47,1.776048
2.48,1.776226
2.49,1.776399
2.5,1.776566
2.51,1.776725
2.52,1.776878
2.53,1.777026
2.54,1.777168
2.55,1.777304
2.56,1.777435
2.57,1.77756
2.58,1.777679
2.59,1.777793
2.6,1.777902
2.61,1.778006
2.62,1.778105
2.63,1.778199
2.64,1.778289
2.65,1.778373
2.66,1.778454
2.67,1.778531
2.68,1.779504
2.69,1.781049
2.7,1.782573
2.71,1.784077
2.72,1.785562
2.73,1.787026
2.74,1.788471
2.75,1.789897
2.76,1.791306
2.77,1.792695
2.78,1.794065
2.79,1.79542
2.8,1.796755
2.81,1.798074
2.82,1.799375
2.83,1.800661
2.84,1.801929
2.85,1.803181
2.86,1.804417
2.87,1.805637
2.88,1.806843
2.89,1.808033
2.9,1.809207
2.91,1.810367
2.92,1.811513
2.93,1.812643
2.94,1.813759
2.95,1.814862
2.96,1.81595
2.97,1.817026
2.98,1.818088
2.99,1.819137
3,1.820172
3.01,1.821149
3.02,1.822141
3.03,1.823119
3.04,1.824086
3.05,1.825039
3.06,1.825979
3.07,1.826908
3.08,1.827825
3.09,1.828731
3.1,1.829624
3.11,1.830506
3.12,1.831377
3.13,1.832237
3.14,1.833086
3.15,1.833924
3.16,1.834753
3.17,1.835569
3.18,1.836376
3.19,1.837174
3.2,1.83796
3.21,1.838737
3.22,1.839505
3.23,1.840263
3.24,1.841011
3.25,1.84175
3.26,1.842481
3.27,1.843202
3.28,1.843913
3.29,1.844617
3.3,1.845312
